sensor angle	rotator angle	time, sec	initial time, sec
57.2555	214.70771484375	1705562911.5756156	1705562909.8589818
56.1807	216.42181396484378	1705562913.2897558	1705562909.8589818
54.698	218.13680419921877	1705562915.0051916	1705562909.8589818
53.0583	219.85242919921876	1705562916.719994	1705562909.8589818
51.3598	221.56663818359377	1705562918.4344285	1705562909.8589818
49.6109	223.2852294921875	1705562920.1522508	1705562909.8589818
45.4507	227.39426269531253	1705562924.2628887	1705562909.8589818
43.7547	229.10975341796876	1705562925.9776158	1705562909.8589818
41.9535	230.82495117187503	1705562927.692986	1705562909.8589818
40.3365	232.53968505859376	1705562929.4079103	1705562909.8589818
38.6362	234.25489501953126	1705562931.122734	1705562909.8589818
36.8856	235.96983642578127	1705562932.8381493	1705562909.8589818
35.1872	237.684765625	1705562934.5528722	1705562909.8589818
33.4474	239.39890136718753	1705562936.2649558	1705562909.8589818
31.7306	241.11374511718753	1705562937.9820783	1705562909.8589818
30.0227	242.83037109375002	1705562939.6979792	1705562909.8589818
28.3061	244.545361328125	1705562941.4110193	1705562909.8589818
26.5858	246.26016845703128	1705562943.1279657	1705562909.8589818
24.8957	247.97591552734377	1705562944.8438485	1705562909.8589818
23.1714	249.69072265625002	1705562946.558967	1705562909.8589818
21.466	251.40637207031253	1705562948.2747197	1705562909.8589818
19.7468	253.12033691406253	1705562949.9843442	1705562909.8589818
18.0326	254.83571777343752	1705562951.704038	1705562909.8589818
16.3319	256.5504516601563	1705562953.41832	1705562909.8589818
14.5757	258.26416015625	1705562955.129487	1705562909.8589818
12.9075	259.97950439453126	1705562956.833999	1705562909.8589818
11.2289	261.694287109375	1705562958.5632517	1705562909.8589818
9.4744	263.4092895507813	1705562960.2775943	1705562909.8589818
7.7627	265.1243530273438	1705562961.992875	1705562909.8589818
6.0424	266.83966064453125	1705562963.7074926	1705562909.8589818
4.3212	268.55494384765626	1705562965.4229138	1705562909.8589818
2.6261	270.27081298828125	1705562967.1388035	1705562909.8589818
1.0408	271.9867797851563	1705562968.8551471	1705562909.8589818
1.0211	273.7024169921875	1705562970.5704482	1705562909.8589818
2.5934	275.417236328125	1705562972.2833886	1705562909.8589818
4.3182	277.13334960937505	1705562974.001469	1705562909.8589818
6.0331	278.84949951171876	1705562975.7178805	1705562909.8589818
7.7466	280.56425781250005	1705562977.4268062	1705562909.8589818
9.4728	282.2803466796875	1705562979.1385434	1705562909.8589818
11.1771	283.99542236328125	1705562980.863896	1705562909.8589818
12.8949	285.7117065429688	1705562982.579447	1705562909.8589818
14.5752	287.427392578125	1705562984.2960093	1705562909.8589818
16.3253	289.1412231445313	1705562986.009563	1705562909.8589818
18.1084	290.85634765625	1705562987.725396	1705562909.8589818
19.7061	292.5722900390625	1705562989.4404645	1705562909.8589818
21.381	294.2861572265625	1705562991.1547835	1705562909.8589818
23.142	296.00146484375	1705562992.8704758	1705562909.8589818
24.8234	297.71672363281255	1705562994.585183	1705562909.8589818
26.5635	299.43154296875	1705562996.3003018	1705562909.8589818
28.2425	301.1474975585938	1705562998.0161943	1705562909.8589818
29.9627	302.86280517578126	1705562999.7315354	1705562909.8589818
31.6523	304.57687988281253	1705563001.445738	1705562909.8589818
33.3887	306.2927978515625	1705563003.1534863	1705562909.8589818
35.1417	308.00786132812505	1705563004.8762963	1705562909.8589818
36.769	309.72189941406253	1705563006.5910237	1705562909.8589818
38.4861	311.62583007812503	1705563008.3062391	1705562909.8589818
43.2208	316.19541015625003	1705563013.064269	1705562909.8589818
44.972	317.9102416992188	1705563014.7786968	1705562909.8589818
46.6644	319.62542724609375	1705563016.4945745	1705562909.8589818
48.3985	321.3416748046875	1705563018.210334	1705562909.8589818
50.1331	323.056396484375	1705563019.9252565	1705562909.8589818
51.816	324.7703369140625	1705563021.639743	1705562909.8589818
53.5208	326.48560791015626	1705563023.354674	1705562909.8589818
55.1284	328.2003173828125	1705563025.0678818	1705562909.8589818
56.5372	329.9158447265625	1705563026.7846723	1705562909.8589818
57.4452	331.63099365234376	1705563028.4995532	1705562909.8589818
57.5143	333.0000854492188	1705563030.2166274	1705562909.8589818
