x sens	y sens	zen sens	azim sens	zenith angle	azimuth angle	radius sens
234.583	245.107	nan	nan	271.6	-0.0	339.27367321677053
231.37	249.676	nan	nan	271.6	90.0	340.39709440005504
235.83	252.932	nan	nan	271.6	180.0	345.81842854885565
239.159	248.375	nan	nan	271.6	270.0	344.8001854784884
234.597	245.358	nan	nan	271.7	-0.0	339.4647265519645
231.599	249.688	nan	nan	271.7	90.0	340.56158642013634
235.803	252.658	nan	nan	271.7	179.999	345.5996524491886
238.827	248.381	nan	nan	271.7	270.0	344.57431287024286
234.564	245.71	nan	nan	271.8	0.0	339.6964441909865
231.853	249.69	nan	nan	271.8	90.0	340.73583566892404
235.841	252.355	nan	nan	271.8	179.999	345.40414488827435
238.541	248.357	nan	nan	271.8	270.0	344.35883628854367
234.585	245.958	nan	nan	271.9	0.0	339.8903646604299
232.196	249.641	nan	nan	271.9	90.0	340.9334411538416
235.819	252.109	nan	nan	271.9	180.001	345.2094272206366
238.309	248.371	nan	nan	271.9	270.0	344.20826997909273
234.586	246.192	nan	nan	272.0	-0.0	340.0604244248366
232.437	249.663	nan	nan	272.0	89.999	341.11372376085956
235.784	251.865	nan	nan	272.0	179.999	345.0073519231148
238.05	248.383	nan	nan	272.0	270.0	344.0376682704962
234.589	246.519	nan	nan	272.1	0.0	340.2993039693146
232.679	249.653	nan	nan	272.1	90.0	341.2713545699375
235.839	251.559	nan	nan	272.1	180.0	344.8216414351048
237.738	248.4	nan	nan	272.1	270.0	343.8341411843798
234.577	246.824	nan	nan	272.2	0.0	340.5120495738734
232.999	249.631	nan	nan	272.2	90.0	341.47352776166997
235.868	251.286	nan	nan	272.2	179.999	344.64237583326866
237.468	248.404	nan	nan	272.2	270.0	343.65040119284015
234.599	247.075	nan	nan	272.3	0.0	340.7091815992049
233.311	249.656	nan	nan	272.3	90.0	341.7047571471606
235.828	251.02	nan	nan	272.3	180.0	344.42108818131334
237.212	248.421	nan	nan	272.3	270.0	343.4858456836322
234.612	247.315	nan	nan	272.4	0.0	340.89221136453085
233.541	249.663	nan	nan	272.4	90.0	341.8669510935504
235.821	250.73	nan	nan	272.4	180.0	344.20499261486606
236.886	248.407	nan	nan	272.4	270.0	343.2506586228204
234.605	247.686	nan	nan	272.5	0.0	341.15665114577496
233.819	249.659	nan	nan	272.5	90.0	342.0540031076964
235.858	250.434	nan	nan	272.5	180.0	344.01480276290437
236.601	248.419	nan	nan	272.5	270.0	343.0627242385859
234.608	247.967	nan	nan	272.6	-0.0	341.3627788043096
234.157	249.628	nan	nan	272.6	90.0	342.26252940250413
235.842	250.174	nan	nan	272.6	180.0	343.8146000972036
236.338	248.458	nan	nan	272.6	270.0	342.90964991962534
234.62	248.209	nan	nan	272.7	0.0	341.5468519559213
234.416	249.676	nan	nan	272.7	90.0	342.4747670004317
235.807	249.903	nan	nan	272.7	179.999	343.59343803105435
236.076	248.429	nan	nan	272.7	270.0	342.7081058524878
234.631	248.538	nan	nan	272.8	-0.0	341.79356870046576
234.644	249.676	nan	nan	272.8	90.0	342.6308680081233
235.818	249.613	nan	nan	272.8	180.0	343.3901263766913
235.779	248.481	nan	nan	272.8	270.0	342.5413029139698
234.607	248.828	nan	nan	272.9	-0.0	341.9880378507412
234.981	249.666	nan	nan	272.9	90.0	342.85446171371314
235.842	249.32	nan	nan	272.9	179.999	343.19369365418123
235.484	248.421	nan	nan	272.9	270.0	342.2947669728534
234.621	249.065	nan	nan	273.0	0.0	342.17011538999134
235.267	249.652	nan	nan	273.0	90.0	343.0403509690952
235.787	249.022	nan	nan	273.0	180.0	342.9394492516135
235.248	248.456	nan	nan	273.0	270.0	342.15786625474504
234.626	249.337	nan	nan	273.1	-0.0	342.37158095408563
235.515	249.671	nan	nan	273.1	90.0	343.2243048882174
235.761	248.781	nan	nan	273.1	180.0	342.7466047709299
234.931	248.471	nan	nan	273.1	270.0	341.9508920912475
234.61	249.672	nan	nan	273.2	0.0	342.6046696762903
235.801	249.635	nan	nan	273.2	90.0	343.3944449550691
235.802	248.501	nan	nan	273.2	180.0	342.57164244140233
234.664	248.506	nan	nan	273.2	270.0	341.79295623520386
234.625	249.913	nan	nan	273.3	-0.0	342.7906040048356
236.123	249.617	nan	nan	273.3	90.0	343.6025579328536
235.799	248.187	nan	nan	273.3	180.0	342.34186914544944
234.392	248.425	nan	nan	273.3	270.0	341.54734706772354
234.672	250.178	nan	nan	273.4	-0.0	343.0160043904657
236.364	249.628	nan	nan	273.4	90.0	343.77620464482413
235.747	247.916	nan	nan	273.4	180.0	342.1096184923774
234.127	248.474	nan	nan	273.4	270.0	341.4012021141695
234.664	250.445	nan	nan	273.5	0.0	343.20531889963473
236.617	249.65	nan	nan	273.5	90.0	343.9661715765084
235.765	247.64	nan	nan	273.5	180.0	341.9220741996632
233.808	248.51	nan	nan	273.5	270.0	341.208735181267
